"Item_Number","District","Location","Disposition","Signal_Type","Signal_Description","Occurred_Date_Time","Charge_Code","Charge_Description","Offender_Number","OffenderID","OffenderStatus","Offender_Race","Offender_Gender","Offender_Age","Victim_Number","PersonType","Victim_Race","Victim_Gender","Victim_Age","Victim_Fatal_Status","Hate Crime","Report Type"
"E-03891-25","5","015XX Elysian Fields Av","CLOSED","64G","ARMED ROBBERY (GUN)","2025-05-04 23:00:00","14 64","ARMED ROBBERY","1","952092","ARRESTED","WHITE","MALE","30","1","VICTIM","WHITE","MALE","26","Non-fatal",,"Supplemental Report"
"E-03891-25","5","015XX Elysian Fields Av","CLOSED","64G","ARMED ROBBERY (GUN)","2025-05-04 23:00:00","14 (24) 64","PRINCIPAL TO ARMED ROBBERY","2","952094","ARRESTED","WHITE","MALE","18","1","VICTIM","WHITE","MALE","26","Non-fatal",,"Supplemental Report"
"F-09163-25","2","082XX Earhart Bd","OPEN","67S","SHOPLIFTING","2025-06-10 11:02:00",,,"1","952095",,"BLACK","MALE",,"1","REPORTING PERSON","BLACK","FEMALE","46","Non-fatal",,"Incident Report"
"F-09163-25","2","082XX Earhart Bd","OPEN","67S","SHOPLIFTING","2025-06-10 11:02:00","54 186","THEFT","1","952095",,"BLACK","MALE",,"2","VICTIM",,,,"Non-fatal",,"Incident Report"
"F-08163-25","1","024XX N Aubry St","OPEN","34C","AGGRAVATED BATTERY (CUTTING)","2025-06-09 10:44:00",,,"1","952033",,"BLACK","MALE","43","2","INTERVIEW",,,,"Non-fatal",,"Supplemental Report"
"F-09187-25","8","004XX Loyola St","CLOSED","103F","DISTURBANCE (FIGHT)","2025-06-10 11:10:00","54 403","DISTURBING THE PEACE","1","952097","ARRESTED","BLACK","FEMALE","19","1","VICTIM","UNKNOWN","UNKNOWN",,"Non-fatal",,"Incident Report"
"F-05534-25","4","033XX Wall Bd","OPEN","42","AGGRAVATED RAPE","2025-05-30 10:40:00",,,,,,,,,"1","VICTIM","UNKNOWN","FEMALE",,"Non-fatal",,"Incident Report"
"F-08529-25","1","026XX Poydras St","OPEN","21","MISCELLANEOUS INCIDENT","2025-06-09 18:07:00",,,,,,,,,"1","REPORTING PERSON","BLACK","FEMALE","33","Non-fatal",,"Incident Report"
"F-09143-25","2","082XX Oleander St","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-06-10 10:00:00",,,,,,,,,"1","REPORTING PERSON","WHITE","FEMALE","35","Non-fatal",,"Incident Report"
"F-09182-25","5","021XX N Claiborne Av","OPEN","59","CRIMINAL MISCHIEF","2025-06-10 00:23:00","14 59","CRIMINAL MISCHIEF","1","952098",,"BLACK","MALE",,"1","VICTIM",,,,"Non-fatal",,"Incident Report"
"F-00928-25","7","112XX Fernley Dr","CLOSED","21M","MISSING ADULT","2025-06-01 20:00:00",,,,,,,,,"1","VICTIM","BLACK","MALE","34","Non-fatal",,"Supplemental Report"
"F-09182-25","5","021XX N Claiborne Av","OPEN","59","CRIMINAL MISCHIEF","2025-06-10 00:23:00",,,"1","952098",,"BLACK","MALE",,"2","REPORTING PERSON","BLACK","FEMALE","36","Non-fatal",,"Incident Report"
"C-24329-25","7","047XX Shalimar Dr","CLOSED","68","UNAUTHORIZED USE OF MOVABLES","2025-06-10 12:20:00","14 68","UNAUTHORIZED USE OF MOVABLE","1","952101","ARRESTED","BLACK","FEMALE","34","1","VICTIM","BLACK","FEMALE","57","Non-fatal",,"Supplemental Report"
"F-09209-25","6","027XX Josephine St","OPEN","56","SIMPLE CRIMINAL DAMAGE","2025-06-10 11:45:00","14 56","SIMPLE CRIMINAL DAMAGE TO PROPERTY","1","952099",,"UNKNOWN","UNKNOWN",,"1","VICTIM","BLACK","FEMALE","68","Non-fatal",,"Incident Report"
"F-05001-25","4","XX Pinewood Ct","OPEN","35D","SIMPLE BATTERY (DOMESTIC)","2025-06-05 19:53:00",,,,,,,,,"1","VICTIM","UNKNOWN","UNKNOWN",,"Non-fatal",,"Incident Report"
"F-09074-25","1","027XX Saint Louis St #B","OPEN","67F","THEFT BY FRAUD","2025-05-21 12:00:00","14 67","THEFT","1","952102",,"UNKNOWN","UNKNOWN",,"1","VICTIM","WHITE","MALE","49","Non-fatal",,"Incident Report"
"F-09074-25","1","027XX Saint Louis St #B","OPEN","67F","THEFT BY FRAUD","2025-05-21 12:00:00","14 67","THEFT","1","952102",,"UNKNOWN","UNKNOWN",,"2","VICTIM","WHITE","MALE","34","Non-fatal",,"Incident Report"
"F-09210-25","3","024XX Agriculture St","OPEN","67A","AUTO THEFT","2025-06-09 02:15:00","14 67.26","THEFT OF A MOTOR VEHICLE","1","952103",,"UNKNOWN","UNKNOWN",,"1","VICTIM","BLACK","FEMALE","35","Non-fatal",,"Incident Report"
"F-09221-25","7","048XX Lonely Oak Dr","OPEN","27-67A","ATTEMPTED AUTO THEFT","2025-06-10 03:00:00","14 (27) 67.26","ATTEMPT THEFT OF A MOTOR VEHICLE","1","952104",,"UNKNOWN","UNKNOWN",,"1","VICTIM","BLACK","MALE","30","Non-fatal",,"Incident Report"
"F-09221-25","7","048XX Lonely Oak Dr","OPEN","27-67A","ATTEMPTED AUTO THEFT","2025-06-10 03:00:00","14 56","SIMPLE CRIMINAL DAMAGE TO PROPERTY","1","952104",,"UNKNOWN","UNKNOWN",,"1","VICTIM","BLACK","MALE","30","Non-fatal",,"Incident Report"
"F-03921-25","3","043XX Tulane Av #321","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-06-04 18:48:00",,,,,,,,,"1","VICTIM","UNKNOWN","FEMALE",,"Non-fatal",,"Incident Report"
"F-09074-25","1","027XX Saint Louis St #B","OPEN","67F","THEFT BY FRAUD","2025-05-21 12:00:00","14 67","THEFT","1","952102",,"UNKNOWN","UNKNOWN",,"3","VICTIM",,,,"Non-fatal",,"Incident Report"
"F-09074-25","1","027XX Saint Louis St #B","OPEN","67F","THEFT BY FRAUD","2025-05-21 12:00:00","14 (27) 67","ATTEMPT - THEFT","1","952102",,"UNKNOWN","UNKNOWN",,"3","VICTIM",,,,"Non-fatal",,"Incident Report"
"F-09198-25","3","022XX Oriole St","OPEN","21","MISCELLANEOUS INCIDENT","2025-06-10 12:04:00",,,,,,,,,"1","REPORTING PERSON","BLACK","FEMALE","64","Non-fatal",,"Incident Report"
"F-09265-25","1","040XX Canal St","OPEN","67S","SHOPLIFTING","2025-06-10 12:27:00","14 67","THEFT","1","952106",,"BLACK","MALE",,"1","VICTIM",,,,"Non-fatal",,"Incident Report"
"F-09265-25","1","040XX Canal St","OPEN","67S","SHOPLIFTING","2025-06-10 12:27:00",,,"1","952106",,"BLACK","MALE",,"2","REPORTING PERSON","BLACK","FEMALE","40","Non-fatal",,"Incident Report"
"F-09094-25","5","016XX Delery St","OPEN","67","THEFT","2025-06-10 02:00:00","14 67","THEFT","1","952107",,"UNKNOWN","UNKNOWN",,"1","VICTIM","BLACK","MALE","49","Non-fatal",,"Incident Report"
"C-23877-25","1","012XX Bienville St","OPEN","21","MISCELLANEOUS INCIDENT","2025-03-27 12:31:00",,,,,,,,,"1","NON-VICTIM",,,,"Non-fatal",,"Incident Report"
"F-09240-25","1","028XX Tulane Av","OPEN","21P","LOST PROPERTY","2025-06-09 12:00:00","14 67","THEFT","1","952111",,"UNKNOWN","UNKNOWN",,"1","VICTIM",,,,"Non-fatal",,"Incident Report"
"F-09240-25","1","028XX Tulane Av","OPEN","21P","LOST PROPERTY","2025-06-09 12:00:00",,,"1","952111",,"UNKNOWN","UNKNOWN",,"2","REPORTING PERSON","WHITE","MALE","53","Non-fatal",,"Incident Report"
"F-09249-25","7","097XX Chef Menteur Hw","OPEN","67S","SHOPLIFTING","2025-06-10 12:09:00","14 67","THEFT","1","952112",,"BLACK","FEMALE",,"1","VICTIM",,,,"Non-fatal",,"Incident Report"
"F-09249-25","7","097XX Chef Menteur Hw","OPEN","67S","SHOPLIFTING","2025-06-10 12:09:00",,,"1","952112",,"BLACK","FEMALE",,"2","REPORTING PERSON",,,,"Non-fatal",,"Incident Report"
"F-00659-25","2","087XX S Claiborne Av","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-06-01 16:44:00",,,,,,,,,"1","VICTIM","UNKNOWN","MALE",,"Non-fatal",,"Incident Report"
"F-09306-25","3","014XX Mandolin St","OPEN","21M","MISSING ADULT","2025-06-10 13:20:00",,,,,,,,,"1","REPORTING PERSON","BLACK","FEMALE","36","Non-fatal",,"Incident Report"
"F-09306-25","3","014XX Mandolin St","OPEN","21M","MISSING ADULT","2025-06-10 13:20:00",,,,,,,,,"2","MISSING PERSON","BLACK","MALE","30","Non-fatal",,"Incident Report"
"E-21477-25","1","002XX Treme St #K","OPEN","21","MISCELLANEOUS INCIDENT","2025-05-22 12:00:00","14 71.1","BANK FRAUD","1","952115",,"UNKNOWN","UNKNOWN",,"1","VICTIM","BLACK","FEMALE","39","Non-fatal",,"Incident Report"
"F-09290-25","2","013XX Joseph St","OPEN","27-67A","ATTEMPTED AUTO THEFT","2025-06-10 12:30:00","14 (27) 67.26","ATTEMPT THEFT OF A MOTOR VEHICLE","1","952116",,"UNKNOWN","UNKNOWN",,"1","VICTIM","UNKNOWN","FEMALE","58","Non-fatal",,"Incident Report"
"F-09290-25","2","013XX Joseph St","OPEN","27-67A","ATTEMPTED AUTO THEFT","2025-06-10 12:30:00",,,"1","952116",,"UNKNOWN","UNKNOWN",,"2","REPORTING PERSON","BLACK","FEMALE","27","Non-fatal",,"Incident Report"
"F-07370-25","4","038XX Texas Dr #A","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-06-08 11:47:00",,,,,,,,,"1","VICTIM","UNKNOWN","MALE",,"Non-fatal",,"Incident Report"
"D-10614-25","7","129XX Chef Menteur Hw","CLOSED","21P","LOST PROPERTY","2025-04-11 15:50:00","14 69.1","ILLEGAL POSSESSION OF STOLEN FIREARMS","1","952117","ARRESTED","BLACK","MALE","20","1","VICTIM","BLACK","MALE",,"Non-fatal",,"Supplemental Report"
"F-09029-25","7","155XX Dwyer Rd","OPEN","103M","DISTURBANCE (MENTAL)","2025-06-10 08:10:00",,,,,,,,,"2","INTERVIEW","BLACK","FEMALE","21","Non-fatal",,"Incident Report"
"F-09029-25","7","155XX Dwyer Rd","OPEN","103M","DISTURBANCE (MENTAL)","2025-06-10 08:10:00",,,,,,,,,"3","INTERVIEW","BLACK","FEMALE","24","Non-fatal",,"Incident Report"
"F-09029-25","7","155XX Dwyer Rd","OPEN","103M","DISTURBANCE (MENTAL)","2025-06-10 08:10:00",,,,,,,,,"4","INTERVIEW","BLACK","MALE","15","Non-fatal",,"Incident Report"
"F-09276-25","2","020XX State St","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-06-10 13:00:00",,,,,,,,,"1","INTERVIEW","WHITE","FEMALE","68","Non-fatal",,"Incident Report"
"E-09333-25","6","033XX S Robertson St","CLOSED","67A","AUTO THEFT","2025-05-10 02:20:00","14 68.4","UNAUTHORIZED USE OF A MOTOR VEHICLE","1","952118","ARRESTED","BLACK","MALE","20","1","VICTIM","BLACK","MALE","41","Non-fatal",,"Supplemental Report"
"E-09333-25","6","033XX S Robertson St","CLOSED","67A","AUTO THEFT","2025-05-10 02:20:00","14 69","ILLEGAL POSSESSION OF STOLEN THINGS","1","952118","ARRESTED","BLACK","MALE","20","1","VICTIM","BLACK","MALE","41","Non-fatal",,"Supplemental Report"
"E-09333-25","6","033XX S Robertson St","CLOSED","67A","AUTO THEFT","2025-05-10 02:20:00","14 68","UNAUTHORIZED USE OF MOVABLE","2","952136",,"BLACK","MALE",,"1","VICTIM","BLACK","MALE","41","Non-fatal",,"Supplemental Report"
"E-09333-25","6","033XX S Robertson St","CLOSED","67A","AUTO THEFT","2025-05-10 02:20:00","14 68.4","UNAUTHORIZED USE OF A MOTOR VEHICLE","2","952136",,"BLACK","MALE",,"1","VICTIM","BLACK","MALE","41","Non-fatal",,"Supplemental Report"
"E-09333-25","6","033XX S Robertson St","CLOSED","67A","AUTO THEFT","2025-05-10 02:20:00","14 95.E","ILLEGAL CARRYING OF A WEAPON WHILE IN POSSESSION OF NARCOTICS","1","952118","ARRESTED","BLACK","MALE","20","2","VICTIM",,,,"Non-fatal",,"Supplemental Report"
"E-09333-25","6","033XX S Robertson St","CLOSED","67A","AUTO THEFT","2025-05-10 02:20:00","14 108.1","FLIGHT FROM AN OFFICER","1","952118","ARRESTED","BLACK","MALE","20","2","VICTIM",,,,"Non-fatal",,"Supplemental Report"
"E-09333-25","6","033XX S Robertson St","CLOSED","67A","AUTO THEFT","2025-05-10 02:20:00","14 99","RECKLESS OPERATION OF A VEHICLE","1","952118","ARRESTED","BLACK","MALE","20","2","VICTIM",,,,"Non-fatal",,"Supplemental Report"
"E-09333-25","6","033XX S Robertson St","CLOSED","67A","AUTO THEFT","2025-05-10 02:20:00","14 95.E","ILLEGAL CARRYING OF A WEAPON WHILE IN POSSESSION OF NARCOTICS","2","952136",,"BLACK","MALE",,"2","VICTIM",,,,"Non-fatal",,"Supplemental Report"
"E-09333-25","6","033XX S Robertson St","CLOSED","67A","AUTO THEFT","2025-05-10 02:20:00","14 108.1","FLIGHT FROM AN OFFICER","2","952136",,"BLACK","MALE",,"2","VICTIM",,,,"Non-fatal",,"Supplemental Report"
"F-05638-25","7","075XX Means Av","OPEN","21Q","QUALITY OF LIFE","2025-06-06 12:30:00",,,,,,,,,"1","REPORTING PERSON","BLACK","FEMALE","80","Non-fatal",,"Supplemental Report"
"F-09220-25","3","043XX Elysian Fields Av #C","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-06-10 13:00:00",,,,,,,,,"1","INTERVIEW","WHITE","MALE","60","Non-fatal",,"Incident Report"
"F-09297-25","8","X Canal St","CLOSED","17F","FUGITIVE ATTACHMENT","2025-06-10 12:38:00","14 000","OUT OF STATE FUGITIVE","1","952123","ARRESTED","BLACK","MALE","35","1","VICTIM",,,,"Non-fatal",,"Incident Report"
"F-08203-25","8","009XX Poeyfarre St","OPEN","21","MISCELLANEOUS INCIDENT","2025-06-08 22:00:00",,,,,,,,,"1","INTERVIEW","BLACK","MALE","59","Non-fatal",,"Incident Report"
"F-09357-25","6","038XX 4th St","OPEN","21","MISCELLANEOUS INCIDENT","2025-06-05 08:00:00",,,,,,,,,"1","REPORTING PERSON","BLACK","FEMALE","48","Non-fatal",,"Incident Report"
"F-09165-25","5","053XX N Villere St","OPEN","37","AGGRAVATED ASSAULT","2025-06-10 11:00:00","14 37","AGG. ASSAULT","1","952130",,"BLACK","FEMALE","58","1","VICTIM","BLACK","FEMALE","59","Non-fatal",,"Incident Report"
"F-09165-25","5","053XX N Villere St","OPEN","37","AGGRAVATED ASSAULT","2025-06-10 11:00:00","14 35","SIMPLE BATTERY","1","952130",,"BLACK","FEMALE","58","1","VICTIM","BLACK","FEMALE","59","Non-fatal",,"Incident Report"
"F-09334-25","8","XX Poydras St","OPEN","67S","SHOPLIFTING","2025-05-31 14:59:00","14 67","THEFT","1","952124",,"BLACK","FEMALE",,"1","VICTIM",,,,"Non-fatal",,"Incident Report"
"F-09334-25","8","XX Poydras St","OPEN","67S","SHOPLIFTING","2025-05-31 14:59:00","14 67","THEFT","2","952125",,"BLACK","FEMALE",,"1","VICTIM",,,,"Non-fatal",,"Incident Report"
"F-09334-25","8","XX Poydras St","OPEN","67S","SHOPLIFTING","2025-05-31 14:59:00","14 67","THEFT","3","952126",,"BLACK","FEMALE",,"1","VICTIM",,,,"Non-fatal",,"Incident Report"
"F-09334-25","8","XX Poydras St","OPEN","67S","SHOPLIFTING","2025-05-31 14:59:00","14 67","THEFT","4","952127",,"BLACK","FEMALE",,"1","VICTIM",,,,"Non-fatal",,"Incident Report"
"F-09334-25","8","XX Poydras St","OPEN","67S","SHOPLIFTING","2025-05-31 14:59:00",,,"1","952124",,"BLACK","FEMALE",,"2","REPORTING PERSON","WHITE","FEMALE","53","Non-fatal",,"Incident Report"
"F-09334-25","8","XX Poydras St","OPEN","67S","SHOPLIFTING","2025-05-31 14:59:00",,,"2","952125",,"BLACK","FEMALE",,"2","REPORTING PERSON","WHITE","FEMALE","53","Non-fatal",,"Incident Report"
"F-09334-25","8","XX Poydras St","OPEN","67S","SHOPLIFTING","2025-05-31 14:59:00",,,"3","952126",,"BLACK","FEMALE",,"2","REPORTING PERSON","WHITE","FEMALE","53","Non-fatal",,"Incident Report"
"F-09334-25","8","XX Poydras St","OPEN","67S","SHOPLIFTING","2025-05-31 14:59:00",,,"4","952127",,"BLACK","FEMALE",,"2","REPORTING PERSON","WHITE","FEMALE","53","Non-fatal",,"Incident Report"
"F-09164-25","6","013XX Saint Charles Av","OPEN","67F","THEFT BY FRAUD","2025-06-10 11:08:00","14 67","THEFT","1","952135",,"UNKNOWN","UNKNOWN",,"1","VICTIM",,,,"Non-fatal",,"Incident Report"
"F-09113-25","3","021XX Agriculture St","OPEN","21","MISCELLANEOUS INCIDENT","2025-05-17 02:00:00","14 62","SIMPLE BURGLARY","1","952129",,"UNKNOWN","UNKNOWN",,"1","VICTIM","WHITE","FEMALE","44","Non-fatal",,"Incident Report"
"A-13245-25","1","003XX N Villere St","CLOSED","42","AGGRAVATED RAPE","2025-01-14 01:30:00","14 42.1/V","SECOND DEGREE RAPE - VAGINAL","1","952134","ARRESTED","BLACK","MALE","32","1","VICTIM",,,,"Non-fatal",,"Supplemental Report"
"A-17928-25","8","Esplanade St & Bourbon St","CLOSED","62C","SIMPLE BURGLARY (VEHICLE)","2025-01-20 14:02:00","14 69.1","ILLEGAL POSSESSION OF STOLEN FIREARMS","1","952131","ARRESTED","BLACK","MALE","20","1","VICTIM","UNKNOWN","MALE",,"Non-fatal",,"Supplemental Report"
"F-08169-25","8","010XX Bienville St","CLOSED","67S","SHOPLIFTING","2025-06-08 14:18:00","14 67","THEFT","1","952137","ARRESTED","BLACK","FEMALE","40","1","VICTIM","WHITE","FEMALE","39","Non-fatal",,"Supplemental Report"
"F-08169-25","8","010XX Bienville St","CLOSED","67S","SHOPLIFTING","2025-06-08 14:18:00","14 62.4","UNAUTHORIZED ENTRY (BUSINESS)","1","952137","ARRESTED","BLACK","FEMALE","40","1","VICTIM","WHITE","FEMALE","39","Non-fatal",,"Supplemental Report"
"F-08169-25","8","010XX Bienville St","CLOSED","67S","SHOPLIFTING","2025-06-08 14:18:00",,,"1","952137","ARRESTED","BLACK","FEMALE","40","2","NON-VICTIM","WHITE","MALE","44","Non-fatal",,"Supplemental Report"
"F-09164-25","6","013XX Saint Charles Av","OPEN","67F","THEFT BY FRAUD","2025-06-10 11:08:00",,,"1","952135",,"UNKNOWN","UNKNOWN",,"2","REPORTING PERSON","WHITE","MALE","40","Non-fatal",,"Incident Report"
"F-09373-25","6","022XX S Liberty St","OPEN","21","MISCELLANEOUS INCIDENT","2025-02-23 10:00:00",,,,,,,,,"1","REPORTING PERSON","BLACK","FEMALE","27","Non-fatal",,"Incident Report"
"F-04573-25","5","007XX Desire St","OPEN","67A","AUTO THEFT","2025-06-05 01:30:00","14 67.26","THEFT OF A MOTOR VEHICLE","1","952138",,"UNKNOWN","UNKNOWN",,"1","VICTIM","WHITE","FEMALE","45","Non-fatal",,"Supplemental Report"
"F-09351-25","1","027XX Tulane Av","CLOSED","21","MISCELLANEOUS INCIDENT","2025-06-10 12:30:00","COURT CAPIAS","CDC WARRANT#","1","952139","ARRESTED","BLACK","MALE","20","1","VICTIM",,,,"Non-fatal",,"Incident Report"
"F-09350-25","1","027XX Tulane Av","CLOSED","21","MISCELLANEOUS INCIDENT","2025-06-10 14:30:00","COURT CAPIAS","CDC WARRANT#","1","952140","ARRESTED","BLACK","MALE","20","1","VICTIM",,,,"Non-fatal",,"Incident Report"
"F-09313-25","7","080XX Curran Bd","OPEN","56","SIMPLE CRIMINAL DAMAGE","2025-06-10 05:00:00","14 56","SIMPLE CRIMINAL DAMAGE TO PROPERTY","1","952141",,"UNKNOWN","UNKNOWN",,"1","VICTIM","BLACK","MALE","32","Non-fatal",,"Incident Report"
"F-09297-25","8","X Canal St","CLOSED","17F","FUGITIVE ATTACHMENT","2025-06-10 12:38:00",,,"1","952123","ARRESTED","BLACK","MALE","35","2","REPORTING PERSON","BLACK","FEMALE",,"Non-fatal",,"Incident Report"
"F-09299-25","5","012XX Clouet St","CLOSED","56","SIMPLE CRIMINAL DAMAGE","2025-06-10 13:00:00","54 151","CRIMINAL DAMAGE TO PROPERTY","1","952142","ARRESTED","BLACK","FEMALE","39","1","VICTIM","WHITE","FEMALE","67","Non-fatal",,"Incident Report"
"F-09299-25","5","012XX Clouet St","CLOSED","56","SIMPLE CRIMINAL DAMAGE","2025-06-10 13:00:00",,,"1","952142","ARRESTED","BLACK","FEMALE","39","2","INTERVIEW","WHITE","FEMALE","37","Non-fatal",,"Incident Report"
"F-09346-25","3","029XX Franklin Av","OPEN","35","SIMPLE BATTERY","2025-06-10 14:23:00","14 35","SIMPLE BATTERY","1","952143",,"BLACK","MALE",,"1","VICTIM","BLACK","MALE","64","Non-fatal",,"Incident Report"
"F-08279-25","3","055XX Rosemary Pl","OPEN","21P","LOST PROPERTY","2025-06-09 00:00:00",,,,,,,,,"1","REPORTING PERSON","WHITE","MALE","32","Non-fatal",,"Supplemental Report"
"F-09335-25","7","070XX Bundy Rd #H12","CLOSED","35D","SIMPLE BATTERY (DOMESTIC)","2025-06-10 14:06:00","14 34.9","BATTERY OF A DATING PARTNER (SIMPLE)","1","952148","ARRESTED","BLACK","FEMALE","20","1","VICTIM","BLACK","MALE","21","Non-fatal",,"Incident Report"
"F-09332-25","4","041XX General De Gaulle Dr","OPEN","67F","THEFT BY FRAUD","2025-06-07 20:00:00","14 67","THEFT","1","952145",,"BLACK","MALE",,"1","VICTIM",,,,"Non-fatal",,"Incident Report"
"F-09332-25","4","041XX General De Gaulle Dr","OPEN","67F","THEFT BY FRAUD","2025-06-07 20:00:00","14 67","THEFT","2","952146",,"BLACK","MALE",,"1","VICTIM",,,,"Non-fatal",,"Incident Report"
"F-09319-25","1","015XX Governor Nicholls","OPEN","67C","THEFT FROM EXTERIOR OF VEHICLE","2025-06-10 12:30:00","14 67","THEFT","1","952149",,"UNKNOWN","UNKNOWN",,"1","VICTIM","BLACK","FEMALE","48","Non-fatal",,"Incident Report"
"F-08242-25","1","007XX N Rampart St","OPEN","21P","LOST PROPERTY","2025-06-07 01:00:00",,,,,,,,,"1","REPORTING PERSON","BLACK","FEMALE","42","Non-fatal",,"Supplemental Report"
"F-09381-25","4","060XX Berkley Dr","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-06-10 15:01:00",,,,,,,,,"1","REPORTING PERSON","WHITE","MALE","22","Non-fatal",,"Incident Report"
"F-09381-25","4","060XX Berkley Dr","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-06-10 15:01:00",,,,,,,,,"2","INTERVIEW","WHITE","FEMALE","41","Non-fatal",,"Incident Report"
"D-10537-25","8","003XX Canal St","OPEN","21P","LOST PROPERTY","2025-04-10 05:00:00",,,,,,,,,"1","REPORTING PERSON","WHITE","MALE","48","Non-fatal",,"Supplemental Report"
"F-09335-25","7","070XX Bundy Rd #H12","CLOSED","35D","SIMPLE BATTERY (DOMESTIC)","2025-06-10 14:06:00","14 35","SIMPLE BATTERY","1","952148","ARRESTED","BLACK","FEMALE","20","2","VICTIM","BLACK","FEMALE","50","Non-fatal",,"Incident Report"
"F-06531-25","4","E Homestead Dr & W Homestead Dr","OPEN","67A","AUTO THEFT","2025-06-07 09:00:00",,,"1","952155",,"UNKNOWN","UNKNOWN",,"1","REPORTING PERSON","BLACK","FEMALE","71","Non-fatal",,"Supplemental Report"
"F-06531-25","4","E Homestead Dr & W Homestead Dr","OPEN","67A","AUTO THEFT","2025-06-07 09:00:00","14 67.26","THEFT OF A MOTOR VEHICLE","1","952155",,"UNKNOWN","UNKNOWN",,"2","VICTIM","BLACK","FEMALE","40","Non-fatal",,"Supplemental Report"
"F-09519-25","6","029XX Philip St","OPEN","35","SIMPLE BATTERY","2025-06-10 02:00:00","14 35","SIMPLE BATTERY","1","952156",,"BLACK","FEMALE",,"1","VICTIM","BLACK","FEMALE","61","Non-fatal",,"Incident Report"
"F-09499-25","5","019XX Port St","CLOSED","103","DISTURBANCE","2025-06-10 16:25:00","54 403","DISTURBING THE PEACE","1","952157","ARRESTED","BLACK","FEMALE","73","1","VICTIM",,,,"Non-fatal",,"Incident Report"
"F-09499-25","5","019XX Port St","CLOSED","103","DISTURBANCE","2025-06-10 16:25:00","54 403","DISTURBING THE PEACE","2","952570","ARRESTED","BLACK","FEMALE","59","1","VICTIM",,,,"Non-fatal",,"Incident Report"
"F-09493-25","7","XX Brownlee Ct","OPEN","103D","DISTURBANCE (DOMESTIC)","2025-06-10 16:44:00",,,,,,,,,"1","REPORTING PERSON","UNKNOWN","UNKNOWN",,"Non-fatal",,"Incident Report"
